Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,MF,Package,Price,SnapEDA_Link,MP,Availability,Check_prices,PARTREV,SNAPEDA_PN,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,STANDARD,L1_NOM,SNAPEDA_PACKAGE_ID,B_NOM,EMAX,D_MAX,BALL_COLUMNS,D1_NOM,THERMAL_PAD,DMAX,L1_MIN,B_MAX,EMIN,JEDEC,ENOM,D_NOM,VACANCIES,L_MAX,A_MAX,D1_MAX,L1_MAX,D1_MIN,E2_NOM,D2_NOM,DNOM,DMIN,E_NOM,BALL_ROWS,B_MIN,PIN_COUNT,L_NOM,IPC,PIN_COLUMNS,BODY_DIAMETER,E_MIN,PACKAGE_TYPE,D_MIN,PINS,L_MIN,E_MAX
1,"Unpolarized capacitor, small symbol",C_Small,C1,2.2uF,C_0805_2012Metric,1, ,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C3,22uF,C_0805_2012Metric,1, ,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Unpolarized capacitor, small symbol",C_Small,C2,C_Small,C_0805_2012Metric,1, ,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Generic connector, double row, 02x02, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x02_Counter_Clockwise,J1 J2,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,2, ,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"WE-MAPI ; Shielded Wire-wound SMD Inductor with Magnetic Iron Alloy Core, 2.2 µH | Wurth Electronics 74438356022",WE-MAPI_4020,L1,74438356022,WE-MAPI_4020_WE-MAPI_4020,1, ,,Würth Elektronik,SMD-2 Würth Elektronik,None,https://www.snapeda.com/parts/74438356022/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=snap,74438356022,In Stock,https://www.snapeda.com/parts/74438356022/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=eda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Resistor, small symbol",R_Small,Rosel1,R_Small,R_0805_2012Metric,1, ,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,60-nA quiescent current bi-directional buck/boost converter with bypass mode,TPS61094DSSR,U1,TPS61094DSSR,TPS61094DSSR_SON50P300X200X80-13N,1, ,,Texas Instruments,Package,None,https://www.snapeda.com/parts/TPS61094DSSR/Texas+Instruments/view-part/?ref=snap,TPS61094DSSR,In Stock,https://www.snapeda.com/parts/TPS61094DSSR/Texas+Instruments/view-part/?ref=eda,C,,Texas Instruments,,IPC 7351B,,56612,0.25,,3.1,,,,,,0.3,,,0.5,3.0,,0.326,0.8,,,,1.0,2.65,,,2.0,,0.2,12.0,0.3,,,,1.9,,2.9,,0.226,2.1





